combined_aircraft_type,total_accidents,total_fatal,total_severe_damage,fatal_accident_rate_%,severe_damage_rate_%
BOEING A75N1(PT17),31,1.0,6.0,3.225806451612903,19.35483870967742
BOEING B75N1,41,3.0,7.0,7.317073170731707,17.073170731707318
BOEING E75,32,2.0,1.0,6.25,3.125
CESSNA 120,140,19.0,20.0,13.571428571428571,14.285714285714285
CESSNA 140,345,38.0,50.0,11.014492753623188,14.492753623188406
CESSNA 140A,34,6.0,1.0,17.647058823529413,2.941176470588235
CESSNA 150,651,107.0,91.0,16.43625192012289,13.978494623655912
CESSNA 150C,29,3.0,5.0,10.344827586206897,17.24137931034483
CESSNA 150D,45,7.0,8.0,15.555555555555555,17.77777777777778
CESSNA 150E,62,12.0,15.0,19.35483870967742,24.193548387096776
CESSNA 150F,230,51.0,46.0,22.17391304347826,20.0
CESSNA 150G,202,44.0,42.0,21.782178217821784,20.792079207920793
CESSNA 150H,206,38.0,49.0,18.446601941747574,23.78640776699029
CESSNA 150J,198,46.0,37.0,23.232323232323232,18.68686868686869
CESSNA 150K,90,12.0,12.0,13.333333333333334,13.333333333333334
CESSNA 150L,390,104.0,78.0,26.666666666666668,20.0
CESSNA 150M,483,85.0,60.0,17.598343685300208,12.422360248447205
CESSNA 152,1920,325.0,175.0,16.927083333333336,9.114583333333332
CESSNA 170,144,21.0,20.0,14.583333333333334,13.88888888888889
CESSNA 170A,126,29.0,13.0,23.015873015873016,10.317460317460316
CESSNA 170B,341,49.0,40.0,14.369501466275661,11.730205278592376
CESSNA 172,1499,352.0,279.0,23.482321547698465,18.612408272181455
CESSNA 172A,54,9.0,15.0,16.666666666666664,27.77777777777778
CESSNA 172B,67,12.0,16.0,17.91044776119403,23.88059701492537
CESSNA 172C,42,15.0,13.0,35.714285714285715,30.952380952380953
CESSNA 172D,69,20.0,15.0,28.985507246376812,21.73913043478261
CESSNA 172E,86,15.0,20.0,17.441860465116278,23.25581395348837
